aimValue,speedValue,isAimMap
4.33294,4.29974,NULL
4.10528,4.83172,NULL
4.66763,3.91001,NULL
5.1701,3.94705,1
6.05972,4.22597,1
5.3274,3.73359,1
4.78754,4.23662,NULL
4.67656,4.87464,NULL
5.49489,3.47731,1
5.5486,3.65142,1
5.06981,4.25942,NULL
4.29982,4.58839,NULL
6.00164,3.34443,1
4.26062,4.20835,NULL
4.6789,4.29241,NULL
5.46488,3.44594,1
4.71409,4.03582,NULL
5.69488,3.86594,1
4.20689,5.13338,NULL
4.31286,5.35074,NULL
5.10739,5.01935,NULL
6.49283,4.04408,1
5.6278,3.54367,1
4.86049,4.23176,NULL
5.02864,3.53306,1
4.79609,4.16223,NULL
5.50438,4.61834,NULL
4.75697,3.99903,NULL
4.83491,4.60423,NULL
4.62415,5.12789,NULL
4.59464,4.05942,NULL
6.57214,3.90844,1
4.25883,4.62205,NULL
5.00924,3.4872,1
4.36094,5.33725,NULL
4.97553,3.82116,NULL
5.14223,3.39032,1
4.75312,4.001,NULL
5.7637,3.34466,1
4.81648,4.24941,NULL
5.21848,3.68812,1
4.6307,4.20025,NULL
5.95453,3.63649,1
4.65124,4.08083,NULL
5.53112,3.67922,1
4.28324,4.74869,NULL
4.62653,4.76877,NULL
4.32972,4.2508,NULL
4.08171,4.61608,NULL
5.37115,3.63249,1
6.00501,3.40695,1
5.04188,4.15958,NULL
5.50328,3.39369,1
5.30826,3.36848,1
4.53283,4.5621,NULL
4.3818,4.97519,NULL
4.19804,4.09012,NULL
4.8481,3.75277,NULL
4.47375,4.87194,NULL
4.06949,4.30073,NULL
6.13705,4.00495,1
5.28174,3.39574,1
5.16291,3.93396,1
6.15369,3.466,1
4.69021,4.93551,NULL
5.1399,4.52275,NULL
4.97292,4.71885,NULL
3.9825,4.71432,NULL
5.21713,4.18103,NULL
4.71136,3.30299,1
5.65793,3.46608,1
4.7861,3.92342,NULL
4.10909,4.08521,NULL
4.38095,4.52578,NULL
5.48128,3.21037,1
4.85008,4.41823,NULL
4.70726,3.69057,NULL
5.76637,3.8712,1
4.82098,4.22997,NULL
4.83423,3.96614,NULL
4.54403,5.22405,NULL
5.37341,3.2947,1
4.20852,4.27163,NULL
4.28141,4.75419,NULL
4.36142,4.66856,NULL
4.54832,4.82137,NULL
5.61579,3.7945,1
4.81661,4.79924,NULL
5.54062,3.42167,1
4.08958,4.48068,NULL
5.37382,3.54791,1
5.76944,3.30264,1
3.8796,4.7271,NULL
3.66757,5.08478,0
4.6221,4.31228,NULL
4.52848,4.14302,NULL
5.02008,3.97626,NULL
4.26114,4.96343,NULL
6.1652,4.0224,1
4.78398,3.74642,NULL
5.87609,4.06827,1
7.34259,4.02337,1
4.26837,4.35679,NULL
5.17967,4.45597,NULL
5.28423,3.12669,1
5.68408,3.5354,1
5.52944,4.41592,NULL
4.60521,4.2441,NULL
4.3839,4.70101,NULL
5.06346,3.28911,1
5.9592,3.72389,1
4.72955,4.69014,NULL
5.44037,3.75018,1
4.88875,3.82983,NULL
4.59465,4.03719,NULL
4.72286,4.03852,NULL
4.7796,3.87409,NULL
4.53025,4.41904,NULL
4.8892,4.60617,NULL
6.05541,4.18852,1
4.48664,4.50105,NULL
4.37369,4.28682,NULL
5.07903,3.92242,NULL
5.58028,3.43797,1
4.98619,4.30433,NULL
5.40611,4.24512,NULL
5.00811,3.90371,NULL
5.12524,3.40105,1
5.50845,3.44977,1
